# x_49,y_24,rho_1176
5.612244897959183731e+01,1.041666666666666785e+01,1.679999999999999549e-02
5.816326530612245449e+01,1.041666666666666785e+01,1.399999999999999682e-02
6.020408163265305745e+01,1.041666666666666785e+01,0.000000000000000000e+00
6.224489795918367463e+01,1.041666666666666785e+01,0.000000000000000000e+00
6.428571428571429180e+01,1.041666666666666785e+01,0.000000000000000000e+00
6.632653061224490898e+01,1.041666666666666785e+01,0.000000000000000000e+00
6.836734693877551194e+01,1.041666666666666785e+01,0.000000000000000000e+00
7.040816326530611491e+01,1.041666666666666785e+01,0.000000000000000000e+00
7.244897959183674629e+01,1.041666666666666785e+01,0.000000000000000000e+00
7.448979591836734926e+01,1.041666666666666785e+01,0.000000000000000000e+00
7.653061224489795222e+01,1.041666666666666785e+01,0.000000000000000000e+00
7.857142857142858361e+01,1.041666666666666785e+01,0.000000000000000000e+00
8.061224489795918657e+01,1.041666666666666785e+01,0.000000000000000000e+00
8.265306122448978954e+01,1.041666666666666785e+01,0.000000000000000000e+00
8.469387755102042092e+01,1.041666666666666785e+01,0.000000000000000000e+00
8.673469387755102389e+01,1.041666666666666785e+01,0.000000000000000000e+00
8.877551020408162685e+01,1.041666666666666785e+01,0.000000000000000000e+00
9.081632653061225824e+01,1.041666666666666785e+01,0.000000000000000000e+00
9.285714285714286120e+01,1.041666666666666785e+01,0.000000000000000000e+00
9.489795918367346417e+01,1.041666666666666785e+01,0.000000000000000000e+00
9.693877551020409555e+01,1.041666666666666785e+01,0.000000000000000000e+00
9.897959183673469852e+01,1.041666666666666785e+01,0.000000000000000000e+00
1.020408163265306145e+00,1.458333333333333393e+01,3.079999999999999405e-02
3.061224489795918657e+00,1.458333333333333393e+01,2.799999999999999364e-02
5.102040816326530503e+00,1.458333333333333393e+01,3.639999999999999486e-02
7.142857142857143238e+00,1.458333333333333393e+01,3.079999999999999405e-02
9.183673469387755972e+00,1.458333333333333393e+01,2.799999999999999364e-02
1.122448979591836782e+01,1.458333333333333393e+01,3.079999999999999405e-02
1.326530612244897966e+01,1.458333333333333393e+01,4.479999999999999261e-02
1.530612244897959329e+01,1.458333333333333393e+01,3.639999999999999486e-02
1.734693877551020336e+01,1.458333333333333393e+01,2.799999999999999364e-02
1.938775510204081698e+01,1.458333333333333393e+01,3.639999999999999486e-02
2.142857142857143060e+01,1.458333333333333393e+01,2.799999999999999364e-02
2.346938775510204067e+01,1.458333333333333393e+01,3.359999999999999098e-02
2.551020408163265429e+01,1.458333333333333393e+01,2.519999999999999324e-02
2.755102040816326792e+01,1.458333333333333393e+01,3.079999999999999405e-02
2.959183673469387799e+01,1.458333333333333393e+01,3.919999999999999180e-02
3.163265306122448806e+01,1.458333333333333393e+01,3.079999999999999405e-02
3.367346938775510523e+01,1.458333333333333393e+01,3.639999999999999486e-02
3.571428571428571530e+01,1.458333333333333393e+01,3.639999999999999486e-02
3.775510204081632537e+01,1.458333333333333393e+01,3.639999999999999486e-02
3.979591836734694255e+01,1.458333333333333393e+01,3.639999999999999486e-02
4.183673469387755262e+01,1.458333333333333393e+01,2.519999999999999324e-02
4.387755102040816269e+01,1.458333333333333393e+01,4.199999999999998873e-02
4.591836734693877986e+01,1.458333333333333393e+01,2.799999999999999364e-02
4.795918367346938993e+01,1.458333333333333393e+01,3.919999999999999180e-02
5.000000000000000000e+01,1.458333333333333393e+01,4.479999999999999261e-02
5.204081632653061718e+01,1.458333333333333393e+01,2.799999999999999364e-02
5.408163265306122014e+01,1.458333333333333393e+01,2.799999999999999364e-02
5.612244897959183731e+01,1.458333333333333393e+01,1.119999999999999815e-02
5.816326530612245449e+01,1.458333333333333393e+01,0.000000000000000000e+00
6.020408163265305745e+01,1.458333333333333393e+01,0.000000000000000000e+00
6.224489795918367463e+01,1.458333333333333393e+01,0.000000000000000000e+00
6.428571428571429180e+01,1.458333333333333393e+01,0.000000000000000000e+00
6.632653061224490898e+01,1.458333333333333393e+01,0.000000000000000000e+00
6.836734693877551194e+01,1.458333333333333393e+01,0.000000000000000000e+00
7.040816326530611491e+01,1.458333333333333393e+01,0.000000000000000000e+00
7.244897959183674629e+01,1.458333333333333393e+01,0.000000000000000000e+00
7.448979591836734926e+01,1.458333333333333393e+01,0.000000000000000000e+00
7.653061224489795222e+01,1.458333333333333393e+01,0.000000000000000000e+00
7.857142857142858361e+01,1.458333333333333393e+01,0.000000000000000000e+00
8.061224489795918657e+01,1.458333333333333393e+01,0.000000000000000000e+00
8.265306122448978954e+01,1.458333333333333393e+01,0.000000000000000000e+00
8.469387755102042092e+01,1.458333333333333393e+01,0.000000000000000000e+00
8.673469387755102389e+01,1.458333333333333393e+01,0.000000000000000000e+00
8.877551020408162685e+01,1.458333333333333393e+01,0.000000000000000000e+00
9.081632653061225824e+01,1.458333333333333393e+01,0.000000000000000000e+00
9.285714285714286120e+01,1.458333333333333393e+01,0.000000000000000000e+00
9.489795918367346417e+01,1.458333333333333393e+01,0.000000000000000000e+00
9.693877551020409555e+01,1.458333333333333393e+01,0.000000000000000000e+00
9.897959183673469852e+01,1.458333333333333393e+01,0.000000000000000000e+00
1.020408163265306145e+00,1.875000000000000000e+01,3.359999999999999098e-02
3.061224489795918657e+00,1.875000000000000000e+01,3.919999999999999180e-02
5.102040816326530503e+00,1.875000000000000000e+01,1.679999999999999549e-02
7.142857142857143238e+00,1.875000000000000000e+01,4.199999999999998873e-02
9.183673469387755972e+00,1.875000000000000000e+01,3.919999999999999180e-02
1.122448979591836782e+01,1.875000000000000000e+01,2.239999999999999630e-02
1.326530612244897966e+01,1.875000000000000000e+01,3.919999999999999180e-02
1.530612244897959329e+01,1.875000000000000000e+01,3.639999999999999486e-02
1.734693877551020336e+01,1.875000000000000000e+01,2.519999999999999324e-02
1.938775510204081698e+01,1.875000000000000000e+01,3.079999999999999405e-02
2.142857142857143060e+01,1.875000000000000000e+01,3.079999999999999405e-02
2.346938775510204067e+01,1.875000000000000000e+01,4.479999999999999261e-02
2.551020408163265429e+01,1.875000000000000000e+01,2.519999999999999324e-02
2.755102040816326792e+01,1.875000000000000000e+01,3.639999999999999486e-02
2.959183673469387799e+01,1.875000000000000000e+01,4.759999999999998954e-02
3.163265306122448806e+01,1.875000000000000000e+01,2.799999999999999364e-02
3.367346938775510523e+01,1.875000000000000000e+01,3.919999999999999180e-02
3.571428571428571530e+01,1.875000000000000000e+01,3.639999999999999486e-02
3.775510204081632537e+01,1.875000000000000000e+01,3.639999999999999486e-02
3.979591836734694255e+01,1.875000000000000000e+01,3.359999999999999098e-02
4.183673469387755262e+01,1.875000000000000000e+01,3.919999999999999180e-02
4.387755102040816269e+01,1.875000000000000000e+01,3.079999999999999405e-02
4.591836734693877986e+01,1.875000000000000000e+01,3.639999999999999486e-02
4.795918367346938993e+01,1.875000000000000000e+01,2.239999999999999630e-02
5.000000000000000000e+01,1.875000000000000000e+01,2.799999999999999364e-02
5.204081632653061718e+01,1.875000000000000000e+01,2.519999999999999324e-02
5.408163265306122014e+01,1.875000000000000000e+01,1.959999999999999590e-02
5.612244897959183731e+01,1.875000000000000000e+01,0.000000000000000000e+00
5.816326530612245449e+01,1.875000000000000000e+01,0.000000000000000000e+00
6.020408163265305745e+01,1.875000000000000000e+01,0.000000000000000000e+00
6.224489795918367463e+01,1.875000000000000000e+01,0.000000000000000000e+00
6.428571428571429180e+01,1.875000000000000000e+01,0.000000000000000000e+00
6.632653061224490898e+01,1.875000000000000000e+01,0.000000000000000000e+00
6.836734693877551194e+01,1.875000000000000000e+01,0.000000000000000000e+00
7.040816326530611491e+01,1.875000000000000000e+01,0.000000000000000000e+00
7.244897959183674629e+01,1.875000000000000000e+01,0.000000000000000000e+00
7.448979591836734926e+01,1.875000000000000000e+01,0.000000000000000000e+00
7.653061224489795222e+01,1.875000000000000000e+01,0.000000000000000000e+00
7.857142857142858361e+01,1.875000000000000000e+01,0.000000000000000000e+00
8.061224489795918657e+01,1.875000000000000000e+01,0.000000000000000000e+00
8.265306122448978954e+01,1.875000000000000000e+01,0.000000000000000000e+00
8.469387755102042092e+01,1.875000000000000000e+01,0.000000000000000000e+00
8.673469387755102389e+01,1.875000000000000000e+01,0.000000000000000000e+00
8.877551020408162685e+01,1.875000000000000000e+01,0.000000000000000000e+00
9.081632653061225824e+01,1.875000000000000000e+01,0.000000000000000000e+00
9.285714285714286120e+01,1.875000000000000000e+01,0.000000000000000000e+00
9.489795918367346417e+01,1.875000000000000000e+01,0.000000000000000000e+00
9.693877551020409555e+01,1.875000000000000000e+01,0.000000000000000000e+00
9.897959183673469852e+01,1.875000000000000000e+01,0.000000000000000000e+00
1.020408163265306145e+00,2.291666666666666785e+01,2.799999999999999364e-02
3.061224489795918657e+00,2.291666666666666785e+01,4.199999999999998873e-02
5.102040816326530503e+00,2.291666666666666785e+01,2.239999999999999630e-02
7.142857142857143238e+00,2.291666666666666785e+01,3.639999999999999486e-02
9.183673469387755972e+00,2.291666666666666785e+01,3.359999999999999098e-02
1.122448979591836782e+01,2.291666666666666785e+01,4.199999999999998873e-02
1.326530612244897966e+01,2.291666666666666785e+01,3.639999999999999486e-02
1.530612244897959329e+01,2.291666666666666785e+01,3.079999999999999405e-02
1.734693877551020336e+01,2.291666666666666785e+01,4.759999999999998954e-02
1.938775510204081698e+01,2.291666666666666785e+01,3.359999999999999098e-02
2.142857142857143060e+01,2.291666666666666785e+01,3.359999999999999098e-02
2.346938775510204067e+01,2.291666666666666785e+01,2.799999999999999364e-02
2.551020408163265429e+01,2.291666666666666785e+01,3.919999999999999180e-02
2.755102040816326792e+01,2.291666666666666785e+01,3.079999999999999405e-02
2.959183673469387799e+01,2.291666666666666785e+01,2.519999999999999324e-02
3.163265306122448806e+01,2.291666666666666785e+01,3.359999999999999098e-02
3.367346938775510523e+01,2.291666666666666785e+01,2.519999999999999324e-02
3.571428571428571530e+01,2.291666666666666785e+01,2.519999999999999324e-02
3.775510204081632537e+01,2.291666666666666785e+01,3.079999999999999405e-02
3.979591836734694255e+01,2.291666666666666785e+01,4.199999999999998873e-02
4.183673469387755262e+01,2.291666666666666785e+01,3.639999999999999486e-02
4.387755102040816269e+01,2.291666666666666785e+01,3.359999999999999098e-02
4.591836734693877986e+01,2.291666666666666785e+01,2.799999999999999364e-02
4.795918367346938993e+01,2.291666666666666785e+01,4.479999999999999261e-02
5.000000000000000000e+01,2.291666666666666785e+01,3.079999999999999405e-02
5.204081632653061718e+01,2.291666666666666785e+01,2.239999999999999630e-02
5.408163265306122014e+01,2.291666666666666785e+01,1.959999999999999590e-02
5.612244897959183731e+01,2.291666666666666785e+01,1.119999999999999815e-02
5.816326530612245449e+01,2.291666666666666785e+01,0.000000000000000000e+00
6.020408163265305745e+01,2.291666666666666785e+01,0.000000000000000000e+00
6.224489795918367463e+01,2.291666666666666785e+01,0.000000000000000000e+00
6.428571428571429180e+01,2.291666666666666785e+01,0.000000000000000000e+00
6.632653061224490898e+01,2.291666666666666785e+01,0.000000000000000000e+00
6.836734693877551194e+01,2.291666666666666785e+01,0.000000000000000000e+00
7.040816326530611491e+01,2.291666666666666785e+01,0.000000000000000000e+00
7.244897959183674629e+01,2.291666666666666785e+01,0.000000000000000000e+00
7.448979591836734926e+01,2.291666666666666785e+01,0.000000000000000000e+00
7.653061224489795222e+01,2.291666666666666785e+01,0.000000000000000000e+00
7.857142857142858361e+01,2.291666666666666785e+01,0.000000000000000000e+00
8.061224489795918657e+01,2.291666666666666785e+01,0.000000000000000000e+00
8.265306122448978954e+01,2.291666666666666785e+01,0.000000000000000000e+00
8.469387755102042092e+01,2.291666666666666785e+01,0.000000000000000000e+00
8.673469387755102389e+01,2.291666666666666785e+01,0.000000000000000000e+00
8.877551020408162685e+01,2.291666666666666785e+01,0.000000000000000000e+00
9.081632653061225824e+01,2.291666666666666785e+01,0.000000000000000000e+00
9.285714285714286120e+01,2.291666666666666785e+01,0.000000000000000000e+00
9.489795918367346417e+01,2.291666666666666785e+01,0.000000000000000000e+00
9.693877551020409555e+01,2.291666666666666785e+01,0.000000000000000000e+00
9.897959183673469852e+01,2.291666666666666785e+01,0.000000000000000000e+00
1.020408163265306145e+00,2.708333333333333570e+01,4.199999999999998873e-02
3.061224489795918657e+00,2.708333333333333570e+01,4.199999999999998873e-02
5.102040816326530503e+00,2.708333333333333570e+01,3.079999999999999405e-02
7.142857142857143238e+00,2.708333333333333570e+01,3.359999999999999098e-02
9.183673469387755972e+00,2.708333333333333570e+01,4.199999999999998873e-02
1.122448979591836782e+01,2.708333333333333570e+01,2.239999999999999630e-02
1.326530612244897966e+01,2.708333333333333570e+01,4.199999999999998873e-02
1.530612244897959329e+01,2.708333333333333570e+01,2.519999999999999324e-02
1.734693877551020336e+01,2.708333333333333570e+01,4.479999999999999261e-02
1.938775510204081698e+01,2.708333333333333570e+01,3.639999999999999486e-02
2.142857142857143060e+01,2.708333333333333570e+01,2.239999999999999630e-02
2.346938775510204067e+01,2.708333333333333570e+01,3.359999999999999098e-02
2.551020408163265429e+01,2.708333333333333570e+01,3.079999999999999405e-02
2.755102040816326792e+01,2.708333333333333570e+01,3.079999999999999405e-02
2.959183673469387799e+01,2.708333333333333570e+01,3.919999999999999180e-02
3.163265306122448806e+01,2.708333333333333570e+01,3.079999999999999405e-02
3.367346938775510523e+01,2.708333333333333570e+01,3.919999999999999180e-02
3.571428571428571530e+01,2.708333333333333570e+01,3.919999999999999180e-02
3.775510204081632537e+01,2.708333333333333570e+01,3.079999999999999405e-02
3.979591836734694255e+01,2.708333333333333570e+01,2.519999999999999324e-02
4.183673469387755262e+01,2.708333333333333570e+01,3.919999999999999180e-02
4.387755102040816269e+01,2.708333333333333570e+01,3.639999999999999486e-02
4.591836734693877986e+01,2.708333333333333570e+01,3.079999999999999405e-02
4.795918367346938993e+01,2.708333333333333570e+01,3.639999999999999486e-02
5.000000000000000000e+01,2.708333333333333570e+01,1.959999999999999590e-02
5.204081632653061718e+01,2.708333333333333570e+01,2.519999999999999324e-02
5.408163265306122014e+01,2.708333333333333570e+01,1.679999999999999549e-02
5.612244897959183731e+01,2.708333333333333570e+01,1.119999999999999815e-02
5.816326530612245449e+01,2.708333333333333570e+01,0.000000000000000000e+00
6.020408163265305745e+01,2.708333333333333570e+01,0.000000000000000000e+00
6.224489795918367463e+01,2.708333333333333570e+01,0.000000000000000000e+00
6.428571428571429180e+01,2.708333333333333570e+01,0.000000000000000000e+00
6.632653061224490898e+01,2.708333333333333570e+01,0.000000000000000000e+00
6.836734693877551194e+01,2.708333333333333570e+01,0.000000000000000000e+00
7.040816326530611491e+01,2.708333333333333570e+01,0.000000000000000000e+00
7.244897959183674629e+01,2.708333333333333570e+01,0.000000000000000000e+00
7.448979591836734926e+01,2.708333333333333570e+01,0.000000000000000000e+00
7.653061224489795222e+01,2.708333333333333570e+01,0.000000000000000000e+00
7.857142857142858361e+01,2.708333333333333570e+01,0.000000000000000000e+00
8.061224489795918657e+01,2.708333333333333570e+01,0.000000000000000000e+00
8.265306122448978954e+01,2.708333333333333570e+01,0.000000000000000000e+00
8.469387755102042092e+01,2.708333333333333570e+01,0.000000000000000000e+00
8.673469387755102389e+01,2.708333333333333570e+01,0.000000000000000000e+00
8.877551020408162685e+01,2.708333333333333570e+01,0.000000000000000000e+00
9.081632653061225824e+01,2.708333333333333570e+01,0.000000000000000000e+00
9.285714285714286120e+01,2.708333333333333570e+01,0.000000000000000000e+00
9.489795918367346417e+01,2.708333333333333570e+01,0.000000000000000000e+00
9.693877551020409555e+01,2.708333333333333570e+01,0.000000000000000000e+00
9.897959183673469852e+01,2.708333333333333570e+01,0.000000000000000000e+00
1.020408163265306145e+00,3.125000000000000000e+01,3.359999999999999098e-02
3.061224489795918657e+00,3.125000000000000000e+01,3.639999999999999486e-02
5.102040816326530503e+00,3.125000000000000000e+01,4.199999999999998873e-02
7.142857142857143238e+00,3.125000000000000000e+01,2.799999999999999364e-02
9.183673469387755972e+00,3.125000000000000000e+01,3.639999999999999486e-02
1.122448979591836782e+01,3.125000000000000000e+01,3.639999999999999486e-02
1.326530612244897966e+01,3.125000000000000000e+01,3.359999999999999098e-02
1.530612244897959329e+01,3.125000000000000000e+01,3.919999999999999180e-02
1.734693877551020336e+01,3.125000000000000000e+01,2.799999999999999364e-02
1.938775510204081698e+01,3.125000000000000000e+01,3.919999999999999180e-02
2.142857142857143060e+01,3.125000000000000000e+01,4.199999999999998873e-02
2.346938775510204067e+01,3.125000000000000000e+01,2.519999999999999324e-02
2.551020408163265429e+01,3.125000000000000000e+01,3.919999999999999180e-02
2.755102040816326792e+01,3.125000000000000000e+01,3.639999999999999486e-02
2.959183673469387799e+01,3.125000000000000000e+01,3.079999999999999405e-02
3.163265306122448806e+01,3.125000000000000000e+01,3.919999999999999180e-02
3.367346938775510523e+01,3.125000000000000000e+01,2.799999999999999364e-02
